Symbol,Name,Price
EGAD,Eaagads Ltd,12.75
KUKZ,Kakuzi Plc,411
KAPC,Kapchorua Tea Kenya Plc,209.5
LIMT,Limuru Tea Plc,320
SASN,Sasini Plc,15.4
WTK,Williamson Tea Kenya Plc,210.25
CGEN,Car and General (K) Ltd,19.8
ABSA,ABSA Bank Kenya Plc,17.2
BKG,BK Group Plc,31.5
COOP,Co-operative Bank of Kenya Ltd,14.4
DTK,Diamond Trust Bank Kenya Ltd,72.75
EQTY,Equity Group Holdings Plc,46.05
HFCK,HF Group Ltd,6.2
IMH,I & M Holdings Plc,30.3
KCB,KCB Group Plc,38.55
NBK,National Bank of Kenya Ltd,4.12
NCBA,NCBA Group Plc,49.45
SBIC,Stanbic Holdings Plc,174.5
SCBK,Standard Chartered Bank Kenya Ltd,270
DCON,Deacons (East Africa) Plc,0.45
EVRD,Eveready East Africa Ltd,0.98
XPRS,Express Kenya Plc,3
HBE,Homeboyz Entertainment Plc,4.66
KQ,Kenya Airways Plc,4.16
LKL,Longhorn Publishers Plc,2.66
NBV,Nairobi Business Ventures Ltd,2
NMG,Nation Media Group Plc,11.75
SMER,Sameer Africa Plc,3.1
SGL,Standard Group Plc,6.26
TPSE,TPS Eastern Africa (Serena) Ltd,14
UCHM,Uchumi Supermarket Plc,0.32
SCAN,WPP ScanGroup Plc,2.86
ARM,ARM Cement Plc,5.55
BAMB,Bamburi Cement Ltd,47.2
CRWN,Crown Paints Kenya Plc,36.9
CABL,East African Cables Plc,2.02
PORT,East African Portland Cement Ltd,38.95
KEGN,Kenya Electricity Generating Company Plc,4.9
KPLC-P4,KPLC-P4,4
KPLC-P7,KPLC-P7,6
KPLC,Kenya Power and Lighting Company Plc,6.28
TOTL,TotalEnergies Marketing Kenya Plc,22.85
UMME,Umeme Ltd,15.65
BRIT,Britam Holdings Plc,6.56
CIC,CIC Insurance Group Ltd,2.94
JUB,Jubilee Holdings Ltd,200
KNRE,Kenya Re-Insurance Corporation Ltd,1.62
LBTY,Liberty Kenya Holdings Ltd,11.4
SLAM,Sanlam Kenya Plc,7.38
CTUM,Centum Investment Company Plc,11.3
HAFR,Home Afrika Ltd,0.75
KURV,Kurwitu Ventures Ltd,1500
OCH,Olympia Capital Holdings Ltd,3.7
TCL,Trans-Century Plc,1.26
NSE,Nairobi Securities Exchange Plc,7.14
AMAC,Armco Group Kenya Ltd,51
BOC,BOC Kenya Plc,80
BAT,British American Tobacco Kenya Plc,372.5
CARB,Carbacid Investments Plc,19.35
EABL,East African Breweries Ltd,171.75
FTGH,Flame Tree Group Holdings Ltd,1.16
MSC,Mumias Sugar Company Ltd,0.27
UNGA,Unga Group Ltd,22.4
SCOM,Safaricom Plc,18
